epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,40150.2,0.75705,0.41865,0.85804,0.89843,0.88695,0.89391,0.63009,0.86705,0.4174,0.87801,0.000406,0.000406,0.000406
92,40590.2,0.75804,0.41825,0.86048,0.91299,0.88075,0.89456,0.62902,0.86558,0.42014,0.87613,0.0003994,0.0003994,0.0003994
93,41035.8,0.75521,0.41856,0.85817,0.90929,0.88239,0.89438,0.63107,0.86599,0.41938,0.87704,0.0003928,0.0003928,0.0003928
94,41478.7,0.75586,0.4169,0.85682,0.90554,0.87537,0.88786,0.62355,0.8702,0.41891,0.87726,0.0003862,0.0003862,0.0003862
95,41919.9,0.75196,0.41526,0.85585,0.9004,0.8848,0.88977,0.63261,0.86673,0.41772,0.87769,0.0003796,0.0003796,0.0003796
96,42364.2,0.75358,0.41702,0.85688,0.90755,0.88674,0.89428,0.63167,0.87106,0.41843,0.87848,0.000373,0.000373,0.000373
97,42807.7,0.74635,0.4135,0.85441,0.89708,0.88973,0.8915,0.63115,0.87735,0.41986,0.87878,0.0003664,0.0003664,0.0003664
98,43250.5,0.74358,0.40993,0.85433,0.88843,0.89003,0.88803,0.6317,0.8741,0.41673,0.87767,0.0003598,0.0003598,0.0003598
99,43693.2,0.74597,0.41109,0.85404,0.8949,0.88827,0.89307,0.63212,0.87012,0.41635,0.87817,0.0003532,0.0003532,0.0003532
100,44133.7,0.74675,0.41439,0.85469,0.89911,0.88528,0.89059,0.63014,0.87009,0.41565,0.87838,0.0003466,0.0003466,0.0003466
101,44573.4,0.74392,0.40908,0.85246,0.88285,0.89183,0.88989,0.62881,0.86989,0.41763,0.87801,0.00034,0.00034,0.00034
102,45016,0.74127,0.40871,0.85204,0.88836,0.89466,0.897,0.62865,0.8721,0.41833,0.87874,0.0003334,0.0003334,0.0003334
103,45453.6,0.74127,0.40731,0.85305,0.89082,0.89153,0.89207,0.6313,0.86811,0.41617,0.87634,0.0003268,0.0003268,0.0003268
104,45895.7,0.74287,0.41094,0.85354,0.87827,0.89194,0.88865,0.62339,0.86997,0.41702,0.87669,0.0003202,0.0003202,0.0003202
105,46338.8,0.73954,0.40606,0.85458,0.88758,0.89304,0.89244,0.62883,0.86739,0.41759,0.87627,0.0003136,0.0003136,0.0003136
106,46782.3,0.73731,0.40308,0.85103,0.89394,0.88357,0.88708,0.624,0.87891,0.4197,0.87962,0.000307,0.000307,0.000307
107,47224.3,0.73851,0.40657,0.85294,0.8807,0.8936,0.89201,0.62603,0.87786,0.42059,0.87878,0.0003004,0.0003004,0.0003004
108,47667.7,0.73977,0.40522,0.85471,0.88651,0.89362,0.8902,0.62526,0.8733,0.41636,0.87914,0.0002938,0.0002938,0.0002938
109,48109.6,0.73472,0.40195,0.8523,0.88187,0.88854,0.88993,0.62634,0.86754,0.41293,0.87772,0.0002872,0.0002872,0.0002872
110,48552.8,0.7329,0.40305,0.85132,0.88493,0.891,0.88994,0.62892,0.86549,0.41447,0.87777,0.0002806,0.0002806,0.0002806
111,48995.2,0.73191,0.40375,0.8496,0.90188,0.8852,0.88968,0.63077,0.8649,0.41476,0.87676,0.000274,0.000274,0.000274
112,49439.4,0.73431,0.40614,0.8498,0.9019,0.88579,0.8945,0.62993,0.86625,0.41448,0.87793,0.0002674,0.0002674,0.0002674
113,49882.9,0.73072,0.40008,0.85238,0.89699,0.884,0.89183,0.62783,0.87212,0.4118,0.87934,0.0002608,0.0002608,0.0002608
114,50325.6,0.73141,0.40225,0.85078,0.89212,0.88726,0.89158,0.6274,0.87227,0.41242,0.87948,0.0002542,0.0002542,0.0002542
115,50769,0.72966,0.39818,0.85022,0.89587,0.88205,0.88564,0.62629,0.87101,0.41327,0.87912,0.0002476,0.0002476,0.0002476
116,51213.4,0.73194,0.40182,0.85153,0.89458,0.88145,0.8891,0.62312,0.87396,0.41451,0.88077,0.000241,0.000241,0.000241
117,51656.3,0.725,0.39683,0.84919,0.9028,0.88197,0.89157,0.62587,0.87158,0.41332,0.88078,0.0002344,0.0002344,0.0002344
118,52100.1,0.7259,0.39849,0.8494,0.89104,0.88878,0.89196,0.62532,0.8741,0.4132,0.88028,0.0002278,0.0002278,0.0002278
119,52544.4,0.72844,0.40113,0.85104,0.88274,0.88837,0.89102,0.62683,0.87277,0.41316,0.88054,0.0002212,0.0002212,0.0002212
120,52986.4,0.72589,0.39614,0.84918,0.88151,0.89202,0.88954,0.62755,0.87355,0.41302,0.88065,0.0002146,0.0002146,0.0002146
121,53434.9,0.72533,0.39594,0.85004,0.8973,0.8764,0.88822,0.62539,0.87429,0.41344,0.88136,0.000208,0.000208,0.000208
122,53877.4,0.72241,0.39444,0.84806,0.88377,0.88887,0.88535,0.62256,0.87366,0.41356,0.88112,0.0002014,0.0002014,0.0002014
123,54320,0.71604,0.39282,0.84856,0.89235,0.87865,0.88866,0.62715,0.87422,0.41443,0.88144,0.0001948,0.0001948,0.0001948
124,54762.3,0.72103,0.39688,0.84955,0.89374,0.88356,0.88959,0.62456,0.86994,0.41431,0.88124,0.0001882,0.0001882,0.0001882
125,55205.2,0.71956,0.39415,0.85017,0.90433,0.88456,0.89172,0.62518,0.87432,0.41248,0.88175,0.0001816,0.0001816,0.0001816
